Link,Name,Rating,Review_title,Review
https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo1MDg0NzAzMjc3NTQ4NjExOjE2OTM4NTE2NzM6c3BfYXRmOjMwMDAxMTY1NzQzNjgwMjo6MDo6&url=%2FWireless-Charger-Qi-Certified-COKOEYE-Samsung%2Fdp%2FB09JCN9D6N%2Fref%3Dsr_1_1_sspa%3Fkeywords%3Dwireless%2Bchargers%26qid%3D1693851673%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,Chandira,4.0 out of 5 stars,About the only flat chargers that have worked with my iphone,"I have bought several versions of these that haven't worked. I'm happy that they work!! My iPhone Jack has failed, so these are the only means I have of charging my phone now. They're quite slow, but better than nothing.
I wish the cord was longer."
https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo1MDg0NzAzMjc3NTQ4NjExOjE2OTM4NTE2NzM6c3BfYXRmOjMwMDAxMTY1NzQzNjgwMjo6MDo6&url=%2FWireless-Charger-Qi-Certified-COKOEYE-Samsung%2Fdp%2FB09JCN9D6N%2Fref%3Dsr_1_1_sspa%3Fkeywords%3Dwireless%2Bchargers%26qid%3D1693851673%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,J. P. Reader,4.0 out of 5 stars,Works well but bright light,"We have these next to the bed to charge our phones overnight. That part works great. However, the green light to tell you that the phone is charging is so bright it lights up half of the room. I put a piece of blue painters tape over the light and it is still so bright I could almost read by it. Electrical tape will be next."
https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo1MDg0NzAzMjc3NTQ4NjExOjE2OTM4NTE2NzM6c3BfYXRmOjMwMDAxMTY1NzQzNjgwMjo6MDo6&url=%2FWireless-Charger-Qi-Certified-COKOEYE-Samsung%2Fdp%2FB09JCN9D6N%2Fref%3Dsr_1_1_sspa%3Fkeywords%3Dwireless%2Bchargers%26qid%3D1693851673%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,Gerald harper,5.0 out of 5 stars,Same your phone,"Stopped plugging in charger, ruined almost every phone I ever owned. Works great. thinking about getting to more."
https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo1MDg0NzAzMjc3NTQ4NjExOjE2OTM4NTE2NzM6c3BfYXRmOjMwMDAxMTY1NzQzNjgwMjo6MDo6&url=%2FWireless-Charger-Qi-Certified-COKOEYE-Samsung%2Fdp%2FB09JCN9D6N%2Fref%3Dsr_1_1_sspa%3Fkeywords%3Dwireless%2Bchargers%26qid%3D1693851673%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,E. Southcott,5.0 out of 5 stars,Works Well,They work as they say they will. Good price.
https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo1MDg0NzAzMjc3NTQ4NjExOjE2OTM4NTE2NzM6c3BfYXRmOjMwMDAxMTY1NzQzNjgwMjo6MDo6&url=%2FWireless-Charger-Qi-Certified-COKOEYE-Samsung%2Fdp%2FB09JCN9D6N%2Fref%3Dsr_1_1_sspa%3Fkeywords%3Dwireless%2Bchargers%26qid%3D1693851673%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,Jetter,3.0 out of 5 stars,Does not trickle charge,"Charges as expected... but once your device is full, it will not keep it charged; you have to remove your phone from the charger and put it back on in order to charge it back up. So at night, when your phone reaches 100% around midnight, it will slowly discharge and be a 90% when you wake up."
https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo1MDg0NzAzMjc3NTQ4NjExOjE2OTM4NTE2NzM6c3BfYXRmOjMwMDAxMTY1NzQzNjgwMjo6MDo6&url=%2FWireless-Charger-Qi-Certified-COKOEYE-Samsung%2Fdp%2FB09JCN9D6N%2Fref%3Dsr_1_1_sspa%3Fkeywords%3Dwireless%2Bchargers%26qid%3D1693851673%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,Dvd,4.0 out of 5 stars,Pretty Good,"This charger does work for my iPhone 12 and iPhone 10. It isn't too fussy about placement but if it is moved slightly it can stop charging which can be a problem if you touch your phone during an overnight charging.
I did purchase two more. I haven't had the problems others have reported such dying after limited usage, getting too hot or giving an incomplete charge. I'd rate it as good value for the money."
https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo1MDg0NzAzMjc3NTQ4NjExOjE2OTM4NTE2NzM6c3BfYXRmOjMwMDAxMTY1NzQzNjgwMjo6MDo6&url=%2FWireless-Charger-Qi-Certified-COKOEYE-Samsung%2Fdp%2FB09JCN9D6N%2Fref%3Dsr_1_1_sspa%3Fkeywords%3Dwireless%2Bchargers%26qid%3D1693851673%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,Kindle Customer,5.0 out of 5 stars,They work!,Ah lak eet!
https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo1MDg0NzAzMjc3NTQ4NjExOjE2OTM4NTE2NzM6c3BfYXRmOjMwMDAxMTY1NzQzNjgwMjo6MDo6&url=%2FWireless-Charger-Qi-Certified-COKOEYE-Samsung%2Fdp%2FB09JCN9D6N%2Fref%3Dsr_1_1_sspa%3Fkeywords%3Dwireless%2Bchargers%26qid%3D1693851673%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,Amazon Customer,4.0 out of 5 stars,convenient,slightly slower charging than the plug in type
https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo1MDg0NzAzMjc3NTQ4NjExOjE2OTM4NTE2NzM6c3BfYXRmOjMwMDAxMTY1NzQzNjgwMjo6MDo6&url=%2FWireless-Charger-Qi-Certified-COKOEYE-Samsung%2Fdp%2FB09JCN9D6N%2Fref%3Dsr_1_1_sspa%3Fkeywords%3Dwireless%2Bchargers%26qid%3D1693851673%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,Kindle Customer,2.0 out of 5 stars,Fails to keep device charged.,"Unit does quickly charge device to 100% however once charged to full it turns off charging. Problem is it never turns charging back on unless devices is removed and placed back on
This is a problem when charging at bedtime only to wake up with device not fully charged cause it lost battery life while charging unit automatic turned off at 100%. My phone percentage went from 100 to 85 percent in less than two hours with it on charging while listening to music . Not happy with them at all."
https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo1MDg0NzAzMjc3NTQ4NjExOjE2OTM4NTE2NzM6c3BfYXRmOjMwMDAxMTY1NzQzNjgwMjo6MDo6&url=%2FWireless-Charger-Qi-Certified-COKOEYE-Samsung%2Fdp%2FB09JCN9D6N%2Fref%3Dsr_1_1_sspa%3Fkeywords%3Dwireless%2Bchargers%26qid%3D1693851673%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,Kimberly D,5.0 out of 5 stars,Nice charger,It works well for my iPhone 13. It charges fast. The trick is to place it on the charger correctly. I think the ones complaining about it not working are not placing it on the charger properly. I love the black color and the light is unobtrusive but I can still tell when it is charging. These are wonderful!
